animal	dpi	wt
400	78	21.3
401	78	23.4
402	78	20.9
403	78	22
404	78	19.899999999999999
405	78	20.399999999999999
406	78	20.6
407	78	21.8
409	78	22.1
410	78	23
411	78	21.5
426	78	20.3
427	78	20.6
430	78	21.7
431	78	24.4
432	78	26.1
433	78	22.6
434	78	22.6
437	78	26.9
438	78	39.200000000000003
439	78	20.399999999999999
440	78	23.4
442	78	19.100000000000001
400	94	21.4
401	94	24.3
402	94	20.99
403	94	21.72
404	94	20.09
405	94	22.17
406	94	19.8
407	94	22.4
409	94	23.65
410	94	22.91
411	94	21.88
426	94	19.75
427	94	21.02
430	94	21.16
431	94	23.95
432	94	25.32
433	94	22.28
434	94	21.09
437	94	24.39
438	94	38.270000000000003
439	94	21.5
440	94	23.91
442	94	20.62
400	116	21.86
401	116	26.8
402	116	21.2
403	116	22.8
404	116	20.8
405	116	21.65
406	116	20.52
407	116	22.7
409	116	23.45
410	116	23.27
411	116	23.19
426	116	20.51
427	116	20.6
430	116	21.07
431	116	26.11
432	116	26.37
433	116	22.38
434	116	21.34
437	116	24.81
438	116	36.82
439	116	21.95
440	116	24
442	116	20.079999999999998
400	135	21.99
401	135	26.07
402	135	20.37
403	135	22.5
404	135	21.37
405	135	22.16
406	135	20.7
407	135	21.83
409	135	23.84
410	135	22.83
426	135	20.37
427	135	20.88
430	135	21.93
431	135	24.64
432	135	23.87
433	135	23.64
434	135	21.25
437	135	24.47
438	135	30.15
439	135	20.67
440	135	22.85
442	135	19.87
400	148	23.56
401	148	27.43
402	148	21.7
403	148	23.02
404	148	22.93
405	148	22.63
406	148	21.16
407	148	22.36
409	148	24.71
410	148	23.6
426	148	20.77
427	148	19.940000000000001
430	148	22.2
431	148	24.65
432	148	23.75
433	148	22.06
434	148	21.22
437	148	23.96
438	148	22.23
439	148	22.45
440	148	22.95
442	148	19.64
400	155	22.41
401	155	26.47
402	155	22.6
403	155	23.27
404	155	22.2
405	155	23.15
406	155	20.97
407	155	22.81
409	155	24.45
410	155	23.4
426	155	19.03
427	155	17.59
430	155	20.6
431	155	23.6
432	155	22.62
433	155	20.39
434	155	19.95
437	155	24.53
439	155	21.17
440	155	21.49
442	155	20.36
400	160	22.72
401	160	26.93
402	160	21.48
403	160	22.6
404	160	22.62
405	160	22.86
406	160	20.88
407	160	22.19
409	160	24.46
410	160	23.2
427	160	16.04
430	160	18.350000000000001
431	160	21.71
432	160	20.45
433	160	20.53
434	160	19.100000000000001
437	160	21.95
439	160	18.079999999999998
440	160	20.2
442	160	19.760000000000002
400	169	23.04
401	169	27.09
402	169	21.93
403	169	22.51
404	169	22.2
405	169	22.8
406	169	20.68
407	169	22.36
409	169	24.49
410	169	23.5
433	169	19.3
442	169	18.899999999999999
400	178	23.6
401	178	27.79
402	178	21.99
403	178	22.81
404	178	23.12
405	178	23.37
406	178	21.59
407	178	22.6
409	178	24.86
410	178	24.5
442	178	17.600000000000001
400	187	23.19
401	187	27.6
402	187	22.97
403	187	24.34
404	187	22.3
405	187	23.43
406	187	21.66
407	187	22.81
409	187	25.17
410	187	23.69
442	187	14.1
400	190	22
401	190	26.4
402	190	21.5
403	190	23.2
404	190	21.5
405	190	23.3
406	190	20.8
407	190	21.5
409	190	24.2
410	190	22.2
427	162	14.3
430	162	16.899999999999999
440	162	17.8
431	166	15.1
434	166	17.100000000000001
437	166	18.100000000000001
432	164	17.600000000000001
433	177	16.7
438	149	21.6
